time,class_0,class_1,total,scenario
2659.4255039312397,36,84,120,unstable_like
2659.4266415754705,35,85,120,unstable_like
2659.4268265796723,36,84,120,unstable_like
2659.427597584529,35,85,120,unstable_like
2659.431839595828,36,84,120,unstable_like
2659.433445939255,35,85,120,unstable_like
2659.4453303116484,36,84,120,unstable_like
2659.4488911902467,35,85,120,unstable_like
2659.4695296316554,36,84,120,unstable_like
2659.469760596889,37,83,120,unstable_like
2659.475782649605,38,82,120,unstable_like
2659.478623870737,37,83,120,unstable_like
2659.4955136123913,38,82,120,unstable_like
2659.4973722383634,39,81,120,unstable_like
2659.5092024531905,40,80,120,unstable_like
2659.5166856453807,39,81,120,unstable_like
2659.5254338658888,38,82,120,unstable_like
2659.526951565336,39,81,120,unstable_like
2659.552512669387,40,80,120,unstable_like
2659.5672502139587,41,79,120,unstable_like
2659.5677818503946,40,80,120,unstable_like
2659.571445951666,41,79,120,unstable_like
2659.5853319558337,42,78,120,unstable_like
2659.585835337571,43,77,120,unstable_like
2659.5902630413384,42,78,120,unstable_like
2659.593021482959,41,79,120,unstable_like
2659.594765923309,40,80,120,unstable_like
2659.606626807067,39,81,120,unstable_like
2659.6123127573746,40,80,120,unstable_like
2659.6141437739357,41,79,120,unstable_like
2659.619982367358,42,78,120,unstable_like
2659.6269106749696,41,79,120,unstable_like
2659.627396262472,40,80,120,unstable_like
2659.627995427563,39,81,120,unstable_like
2659.6352903886964,38,82,120,unstable_like
2659.6451334086596,37,83,120,unstable_like
2659.645601980967,38,82,120,unstable_like
2659.649724385571,39,81,120,unstable_like
2659.6532858748074,38,82,120,unstable_like
2659.6559022961515,37,83,120,unstable_like
2659.6586160791576,36,84,120,unstable_like
2659.6625094885485,37,83,120,unstable_like
2659.662549259487,38,82,120,unstable_like
2659.6784970931167,39,81,120,unstable_like
2659.6807731306653,40,81,121,unstable_like
2659.683071536178,39,82,121,unstable_like
2659.6873933278944,40,81,121,unstable_like
2659.689428627447,41,80,121,unstable_like
2659.7131482727755,42,79,121,unstable_like
2659.717803535843,41,80,121,unstable_like
2659.7182449883653,42,79,121,unstable_like
2659.7279178827825,43,78,121,unstable_like
2659.735014862177,44,77,121,unstable_like
2659.7418453266755,45,76,121,unstable_like
2659.7444808164378,44,77,121,unstable_like
2659.7500487148777,45,76,121,unstable_like
2659.7500702828374,44,77,121,unstable_like
2659.751814816697,43,78,121,unstable_like
2659.754842411728,42,79,121,unstable_like
2659.7619884445394,41,80,121,unstable_like
2659.7726615512834,40,81,121,unstable_like
2659.7770237519735,41,80,121,unstable_like
2659.7928787310593,40,81,121,unstable_like
2659.795974881554,39,82,121,unstable_like
2659.8020178197503,40,81,121,unstable_like
2659.8041752602453,39,82,121,unstable_like
2659.815507103944,40,81,121,unstable_like
2659.8155551527716,41,80,121,unstable_like
2659.8167172578333,40,81,121,unstable_like
2659.819976387604,41,80,121,unstable_like
2659.8202811815486,42,79,121,unstable_like
2659.821541293814,41,79,120,unstable_like
2659.8329770119517,40,80,120,unstable_like
2659.8409825441668,41,79,120,unstable_like
2659.8495526327347,42,78,120,unstable_like
2659.8598203001293,41,79,120,unstable_like
2659.8665048652238,40,80,120,unstable_like
2659.8709959105154,41,79,120,unstable_like
2659.871220357207,40,80,120,unstable_like
2659.872746444581,39,81,120,unstable_like
2659.875420152759,40,80,120,unstable_like
2659.8759978782855,39,81,120,unstable_like
2659.879931744737,38,82,120,unstable_like
2659.8912768167525,37,83,120,unstable_like
2659.8978551743317,36,84,120,unstable_like
2659.907501765829,37,83,120,unstable_like
2659.9123301086474,36,84,120,unstable_like
2659.9128760269186,35,85,120,unstable_like
2659.9198106586546,36,84,120,unstable_like
2659.9262624437756,37,83,120,unstable_like
2659.929099810913,38,82,120,unstable_like
2659.9398787375176,39,81,120,unstable_like
2659.9452383024363,38,82,120,unstable_like
2659.9755731039986,39,81,120,unstable_like
2659.9838052990835,38,82,120,unstable_like
2660.0089146996784,39,81,120,unstable_like
2660.0113723312093,40,80,120,unstable_like
2660.0309208184945,41,79,120,unstable_like
2660.0318272023123,40,80,120,unstable_like
2660.034027370691,39,80,119,unstable_like
2660.0495507615715,38,81,119,unstable_like
2660.055904781141,39,80,119,unstable_like
2660.0648949875817,40,79,119,unstable_like
2660.0717360357817,41,78,119,unstable_like
2660.075774792783,40,79,119,unstable_like
2660.0767950268378,39,80,119,unstable_like
2660.083889505532,40,79,119,unstable_like
2660.0845046835984,39,80,119,unstable_like
2660.0863879802077,38,81,119,unstable_like
2660.0867864017846,37,82,119,unstable_like
2660.0873787084793,36,83,119,unstable_like
2660.096335332497,37,82,119,unstable_like
2660.1035586952603,38,81,119,unstable_like
2660.1084405146376,37,82,119,unstable_like
2660.1114731324374,38,81,119,unstable_like
2660.146356930364,37,82,119,unstable_like
2660.183057002335,36,83,119,unstable_like
2660.187713041317,37,82,119,unstable_like
2660.193310961375,38,81,119,unstable_like
2660.208504958445,39,80,119,unstable_like
2660.2163500836764,40,80,120,unstable_like
2660.221525371623,39,81,120,unstable_like
2660.2227454497465,40,80,120,unstable_like
2660.2233449927962,41,79,120,unstable_like
2660.231801233079,42,78,120,unstable_like
2660.23554532628,41,79,120,unstable_like
2660.2443637074302,40,80,120,unstable_like
2660.248845191624,39,81,120,unstable_like
2660.2490639280477,40,80,120,unstable_like
2660.262625479533,39,81,120,unstable_like
2660.279282077199,38,82,120,unstable_like
2660.2844727344227,37,83,120,unstable_like
2660.2870639881494,36,84,120,unstable_like
2660.2965893436262,35,85,120,unstable_like
2660.304371473143,36,84,120,unstable_like
2660.3074859594053,35,85,120,unstable_like
2660.321548183772,36,84,120,unstable_like
2660.327153173075,37,83,120,unstable_like
2660.3312708248136,36,84,120,unstable_like
2660.332851618835,35,85,120,unstable_like
2660.3399883547127,34,86,120,unstable_like
2660.3410806703027,35,85,120,unstable_like
2660.358049886998,36,84,120,unstable_like
2660.3602815672675,37,83,120,unstable_like
2660.3722257041886,38,82,120,unstable_like
2660.3753727822887,37,83,120,unstable_like
2660.3760550220404,38,82,120,unstable_like
2660.379136401191,39,81,120,unstable_like
2660.3804139863173,40,80,120,unstable_like
2660.388159195392,41,79,120,unstable_like
2660.4061617898205,40,80,120,unstable_like
2660.4174206334187,39,81,120,unstable_like
2660.4357761143538,40,80,120,unstable_like
2660.449167982505,39,81,120,unstable_like
2660.450234491553,40,80,120,unstable_like
2660.4521309862307,39,81,120,unstable_like
