bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,heatmap_bound,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,CV_W
16,1.4049407632767885,1.9237646666554207,1.5778820644029992,5.2490619000721175,0.7710754763120511,0.8054372252289227,1.5765127015409741,0.4,0.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.4519989673703266
16,1.5375985161383583,1.9895996032370868,1.6882655451712678,5.6574340939677175,0.9585358997729266,0.729518515381641,1.688054415154567,0.4,0.4,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.4088637483422546
16,1.6169445138381724,2.0044328903460857,1.7461073060074768,5.627664303156008,1.1006615768188655,0.6455186153998834,1.7461801922187492,0.4,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.3586048548634924
16,1.6682749735131441,2.0045832452910393,1.7803777307724422,5.530481153692884,1.2069064427920246,0.5736639883313854,1.7805704311234098,0.4,0.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.3208980679042956
16,1.703968976769116,2.0003281379705715,1.8027553638362677,5.43564104004008,1.288182368133683,0.514845117623656,1.8030274857573365,0.4,1.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2932681677794273
16,1.730195867936191,1.9949385883037651,1.818443441392049,5.355154456695184,1.3520279375303068,0.46674179215070616,1.8187697296810126,0.4,1.2000000000000002,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.272583250763117
16,1.7502878239778519,1.9895333815329328,1.8300363431628788,5.2888470076467105,1.40339194622408,0.4270051291650779,1.8303970753891583,0.4,1.4000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2566686691339035
16,1.7661842953492628,1.9844908711826803,1.8389531539604018,5.234284737520452,1.4455662819933088,0.3937671005956049,1.8393333825889135,0.4,1.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2441077799828095
16,1.7790861431496023,1.9799158902134846,1.8460293921708963,5.189037254015332,1.480799095073433,0.3656190941906934,1.8464181892641263,0.4,1.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2339705156093894
16,1.789775384425158,1.9758097758073678,1.851786848219228,5.151120645376354,1.5106687713968914,0.34150764146921153,1.852176412866104,0.4,2.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2256313624925064
16,1.7987828275531068,1.972136464936633,1.8565673733476153,5.1190010093969125,1.5363124179258092,0.32063981678910913,1.856952234714919,0.4,2.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2186581395786746
16,1.8064814000015865,1.9688490989388263,1.8606039663139997,5.091508257821344,1.5585684529479142,0.3024119009643521,1.860980353912266,0.4,2.4000000000000004,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2127444165404375
16,1.8131408206800042,1.9659007086331135,1.8640607833310405,5.06774851217696,1.5780679363162662,0.2863582192540546,1.86442615557032,0.4,2.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2076677187937037
