bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,CV_W
12,1.670729044136328,1.9079137546795735,1.7497906143174098,5.802974852986817,1.0399682775657162,0.7077493953433958,1.747717672909111,1.2,1.2,1.376699838887702
12,1.7051112590713955,1.9158102712501162,1.7753442631309688,5.716283305622738,1.125448580621362,0.6495981500794236,1.7750467307007853,1.2,1.5,1.3467106397427147
12,1.7292968242458573,1.918839408001139,1.7924776854976177,5.628603604250035,1.194545867125894,0.5986141707309319,1.7931600378568258,1.2,1.7999999999999998,1.323568962206045
12,1.7470164178392131,1.9194033088718225,1.8044787148500827,5.546620480038692,1.2513543535857912,0.5544053732679503,1.8057597268537418,1.2,2.1,1.305156113013564
12,1.7604351636079352,1.918686639644787,1.813185655620219,5.472167872109763,1.2987978622420029,0.5160743493967282,1.8148722116387317,1.2,2.4,1.2901417552772039
12,1.770880445973361,1.9173107724024296,1.8196905547830504,5.405405625283947,1.3389745880177297,0.48269837236731855,1.8216729603850481,1.2,2.6999999999999997,1.277663840179817
12,1.779201510266065,1.9156138579265205,1.82467229281955,5.345822359871062,1.37341402759184,0.4534663439042781,1.8268803714961193,1.2,3.0,1.267133533135461
12,1.1556602231203388,1.4628798055753471,1.2580667506053416,2.362205062891772,0.4453042925073501,0.8097284866990588,1.2550327792064102,1.5,0.0,1.2216733874504957
12,1.3705743823268497,1.694770738393195,1.4786398343489648,4.739855388335789,0.5907974443638793,0.8718833304057465,1.4626807747696255,1.5,0.3,1.4723807946404803
12,1.514580324635632,1.8091659952975274,1.6127755481895971,5.715102510805481,0.7390821972063382,0.8594751993479524,1.5985573965542892,1.5,0.6,1.4823067354270978
12,1.600938008698894,1.8609009257954738,1.6875923143977538,5.923731955397801,0.8659568889358493,0.8127910798925101,1.6787479688283597,1.5,0.8999999999999999,1.4422155058646862
12,1.6558648846019233,1.8861634048292268,1.7326310580110245,5.917458040156335,0.9700421115064627,0.7579090725731876,1.7279511840796502,1.5,1.2,1.4039818663387118
12,1.6930715220611332,1.8992241252050623,1.7617890564424428,5.857168371653948,1.0552254754412507,0.7045344562941384,1.759759931735389,1.5,1.5,1.373693825839777
12,1.7195536143576793,1.9060942062400263,1.781733811651795,5.78593798406773,1.125578013661727,0.6557316516882095,1.7813096653499383,1.5,1.7999999999999998,1.3500320088086766
12,1.7391212766428128,1.9095691192402244,1.7959372241752831,5.7150146637157615,1.1843972634468143,0.6121146364351427,1.7965118998819567,1.5,2.1,1.3311209614337947
12,1.7540125204413242,1.9110828907046236,1.8063693105290906,5.647678349480625,1.23418728288932,0.5734226913128176,1.8076099742021372,1.5,2.4,1.315613832626998
12,1.765624647034,1.9114306670788865,1.8142266537156286,5.58502340611623,1.276822805914099,0.5391242187716658,1.815947024685764,1.5,2.6999999999999997,1.302629639386786
12,1.7748697248513428,1.9110772770794253,1.8202722422607036,5.527337286768196,1.313713373318078,0.5086476794775485,1.8223610527956258,1.5,3.0,1.2915809679942112
12,1.1480219122060156,1.437401658922508,1.2444818277781797,2.2789790321762458,0.4301478931531902,0.8114734000568491,1.241621293210039,1.7999999999999998,0.0,1.2130581092247168
12,1.3522891481429802,1.6573855662577708,1.4539879541812435,4.5300054632485995,0.5604511941912929,0.877574580564115,1.4380257747554064,1.7999999999999998,0.3,1.4638229585653324
12,1.4953917550970106,1.7766834939710388,1.5891556680550198,5.627398024908363,0.6948540122605016,0.8777377434083621,1.5725917556688638,1.7999999999999998,0.6,1.4927510167711517
