h12,h21,L_1,L_2,L,W_1,W_2,W,U
1.2,2.1,2.132146264601717,1.2883289097521353,3.4204751743538497,1.5479610921794824,1.828761386537311,1.6883612393583967,4.494193974185457
1.2,2.4,2.2245420063038384,1.1944633947220473,3.419005401025885,1.554762690758445,1.8106192321763859,1.6826909614674155,4.276649943323239
1.2,2.6999999999999997,2.3009407094303755,1.11271828988436,3.413658999314734,1.5591966400475472,1.794525525486008,1.6768610827667776,4.1019842184541115
1.2,3.0,2.3651738714453234,1.0413019695518566,3.40647584099718,1.562114301058688,1.7802660039428015,1.6711901525007447,3.95844114097849
1.5,0.0,0.44236434002594943,1.630011922664284,2.0723762626902356,0.7649152812998821,1.3532477888093843,1.0590815350546332,1.8348248763648543
1.5,0.3,0.7084304365856465,1.8346038638863553,2.5430343004720006,1.067937892202326,1.6687942451139461,1.368366068658136,5.21409270265735
1.5,0.6,1.0277489457856226,1.8938702038223982,2.92161914960802,1.3082401062526008,1.8413520445394498,1.5747960753960253,7.061698218670564
1.5,0.8999999999999999,1.3188280566929405,1.842259394709532,3.161087451402471,1.4370488287434626,1.8938633776102602,1.6654561031768615,6.933235318541589
1.5,1.2,1.5577034151929408,1.7425515615508145,3.300254976743753,1.5015477934379868,1.8964230458151285,1.6989854196265577,6.290103973323667
1.5,1.5,1.7476100853050414,1.6290603145982592,3.3766703999033,1.5349383651433806,1.8817486597039432,1.708343512423662,5.697814987723098
1.5,1.7999999999999998,1.8985241189788138,1.5174421982627857,3.4159663172416,1.5535943361635978,1.8628405690488306,1.7082174526062142,5.251114408033459
1.5,2.1,2.0200210484415297,1.4140366322350406,3.4340576806765726,1.5646951640565439,1.8440359291521116,1.7043655466043277,4.918779483375472
1.5,2.4,2.1195180423338384,1.3207312540839085,3.440249296417748,1.5715055311231088,1.8265674180891731,1.699036474606141,4.663177269146116
1.5,2.6999999999999997,2.202379814380206,1.2374391725730076,3.4398189869532136,1.5756887577175227,1.8106843210990433,1.693186539408283,4.459331918108084
1.5,3.0,2.272434621722392,1.1633064967452953,3.4357411184676856,1.5781903010466403,1.7963396705909223,1.6872649858187811,4.292045796361352
1.7999999999999998,0.0,0.4282243826857585,1.62809964490522,2.05632402759098,0.7674562294377596,1.3334460822428718,1.0504511558403156,1.7837440199965147
1.7999999999999998,0.3,0.6665339606007835,1.8297579952890421,2.4962919558898244,1.0556675722907805,1.62833751993994,1.3420025461153602,4.921176188206079
1.7999999999999998,0.6,0.9511656125220328,1.9070955206402063,2.85826113316224,1.2950978138059472,1.809796486160396,1.5524471499831716,7.054164925617041
1.7999999999999998,0.8999999999999999,1.219152574538529,1.8827711918803902,3.1019237664189196,1.4335485876034486,1.879716910342079,1.656632748972764,7.304034125916821
1.7999999999999998,1.2,1.4481772962376787,1.8077132355300056,3.2558905317676845,1.5073008135165331,1.8959435832982579,1.7016221984073954,6.822588970545498
1.7999999999999998,1.5,1.637039626553596,1.7126659125570443,3.349705539110641,1.5460358403145882,1.8890943701318523,1.7175651052232204,6.224336224078605
1.7999999999999998,1.7999999999999998,1.7913364666456988,1.6131932454414941,3.4045297120871942,1.5670909331451686,1.8740460697854426,1.7205685014653056,5.719417708319504
1.7999999999999998,2.1,1.917913580303631,1.5168461281426378,3.434759708446271,1.5791426770184838,1.8571070702975485,1.7181248736580161,5.330931401139438
1.7999999999999998,2.4,2.0228537441308827,1.4269587072888061,3.449812451419686,1.5862790647018512,1.8405708053745062,1.7134249350381787,5.032481553256549
1.7999999999999998,2.6999999999999997,2.110973762708316,1.344655227793121,3.4556289905014372,1.5904974488964434,1.8251432467621895,1.7078203478293164,4.796952352171919
1.7999999999999998,3.0,2.185917372597172,1.269957914332128,3.455875286929302,1.5928683352256665,1.8109697754563578,1.7019190553410122,4.605400280055738
2.1,0.0,0.4166417037325637,1.6264834070404022,2.0431251107729667,0.7692155412623264,1.317473247055749,1.0433443941590377,1.7424454216782674
2.1,0.3,0.6337965639705492,1.8248985962205608,2.4586951601911102,1.044838267352955,1.594928332290568,1.3198832998217616,4.669935938243824
2.1,0.6,0.8911407581431452,1.9141355624401755,2.8052763205833227,1.281399680018468,1.7803761027427056,1.5308878913805868,6.9578887745163795
